mpath,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,14,0.0004875136073678732,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,15,0.003889690851792693,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,16,0.0005370887811295688,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,17,0.5135223269462585,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,18,1.8813458382282988e-06,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,19,0.0008345054229721427,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,20,0.0022586784325540066,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,21,0.0008544563315808773,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,22,0.27312013506889343,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,23,0.0001247402688022703,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,24,0.00030957703711465,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,25,0.0035043894313275814,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,26,0.00024605245562270284,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,27,0.009875384159386158,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,28,0.011306499131023884,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,29,0.004594043362885714,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,30,0.00805071834474802,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,31,0.010995142161846161,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,0,0.004397348966449499,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,1,0.007043328136205673,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,2,0.0014965625014156103,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,3,0.005870161112397909,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,4,0.012239550240337849,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,5,0.008739423006772995,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,6,0.000861785258166492,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,7,0.006384925916790962,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,8,0.0011255476856604218,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,9,0.010786693543195724,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,10,9.188708645524457e-05,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,11,0.0026701742317527533,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,12,0.022377628833055496,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,13,0.0012129084207117558,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,14,8.670928218634799e-05,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,15,0.00015454091771971434,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,16,6.4379621633747774e-09,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,17,0.009833014570176601,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,18,0.00023309975222218782,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,19,0.1371699869632721,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,20,0.0010775851551443338,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,4,21,0.00808799546211958,0.9800000190734863,28.860000610351562
