mpath,checkpoint,words_seen,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,11,0.008122939616441727,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,0,0.01222291961312294,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,1,0.007611305918544531,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,2,0.009732545353472233,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,3,0.0093529699370265,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,4,0.010036630555987358,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,5,0.00928961019963026,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,6,0.004308459814637899,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,7,0.006517403293401003,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,8,0.01171843335032463,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,9,0.009414458647370338,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,10,0.00684434873983264,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,7,11,0.007480412255972624,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,0,0.007016347721219063,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,8,1,0.011712092906236649,0.0,7744.259765625
